image_id,image_path,gemma_ingredients,qwen_corrected_ingredients,gemma_ingredient_count,qwen_ingredient_count,tp,fp,fn,precision,recall,f1,exact_match,jaccard,false_negatives,false_positives
0002_jpeg.rf.835f8e5dc0b7b520f3d4a848bb7998ec.jpg,data/raw/train/images/0002_jpeg.rf.835f8e5dc0b7b520f3d4a848bb7998ec.jpg,carrot; cabbage; milk,carrot; cabbage; milk; yogurt; cheese; mustard; hot sauce; soy sauce; water; juice; pickle; leafy greens; tomato; butter; jam,3,15,3,0,12,1.0,0.2,0.3333,0,0.2,butter; cheese; hot sauce; jam; juice; leafy greens; mustard; pickle; soy sauce; tomato; water; yogurt,
0004_jpeg.rf.db67104c6e2411b38b575315e819e3de.jpg,data/raw/train/images/0004_jpeg.rf.db67104c6e2411b38b575315e819e3de.jpg,strawberry; lemon; egg; oat milk,strawberry; leafy greens; bell pepper; onion; lime; lemon; yogurt; egg; oat milk; sandwiches,4,10,4,0,6,1.0,0.4,0.5714,0,0.4,bell pepper; leafy greens; lime; onion; sandwiches; yogurt,
0009_jpeg.rf.0c1625dc5db5a35d83270e76c111b780.jpg,data/raw/train/images/0009_jpeg.rf.0c1625dc5db5a35d83270e76c111b780.jpg,egg; water,mustard; soy sauce; mayonnaise; jam; pickle; yogurt; water; butter; meat; milk; egg; juice; salad; tortilla,2,14,2,0,12,1.0,0.1429,0.25,0,0.1429,butter; jam; juice; mayonnaise; meat; milk; mustard; pickle; salad; soy sauce; tortilla; yogurt,
0013_jpeg.rf.a147b6b2c2efbe662e233e5ec88af8c5.jpg,data/raw/train/images/0013_jpeg.rf.a147b6b2c2efbe662e233e5ec88af8c5.jpg,banana; apple; honey mustard,banana; apple; honey mustard; food containers; frozen bag,3,5,3,0,2,1.0,0.6,0.75,0,0.6,food containers; frozen bag,
0015_jpeg.rf.9aa3585b8d96dea99aaf41f5ecaacb7d.jpg,data/raw/train/images/0015_jpeg.rf.9aa3585b8d96dea99aaf41f5ecaacb7d.jpg,egg; kefir,egg; butter; jam; kefir; yogurt; zucchini; carrot; lemon; eggplant; apple,2,10,2,0,8,1.0,0.2,0.3333,0,0.2,apple; butter; carrot; eggplant; jam; lemon; yogurt; zucchini,
0016_jpeg.rf.e0da1dd3f9f4109a8d9d6c9e53ad980d.jpg,data/raw/train/images/0016_jpeg.rf.e0da1dd3f9f4109a8d9d6c9e53ad980d.jpg,milk; egg,milk; egg; yogurt; mayonnaise; mustard; ketchup; hot sauce; juice; lettuce; carrot; cream cheese; barbecue sauce; pickle; relish; salad dressing,2,15,2,0,13,1.0,0.1333,0.2353,0,0.1333,barbecue sauce; carrot; cream cheese; hot sauce; juice; ketchup; lettuce; mayonnaise; mustard; pickle; relish; salad dressing; yogurt,
0017_jpeg.rf.279fb0f3a7c4fc71b32d890822e223b2.jpg,data/raw/train/images/0017_jpeg.rf.279fb0f3a7c4fc71b32d890822e223b2.jpg,egg; grape; cucumber; lime,egg; grape; cucumber; lime; orange; tomato; meat; lettuce; frozen vegetables; bread,4,10,4,0,6,1.0,0.4,0.5714,0,0.4,bread; frozen vegetables; lettuce; meat; orange; tomato,
0018_jpeg.rf.a40ad1a87817d16c4b77001b9674d0ea.jpg,data/raw/train/images/0018_jpeg.rf.a40ad1a87817d16c4b77001b9674d0ea.jpg,egg; cabbage; cucumber; water,egg; cabbage; cucumber; water; leafy greens; sauces; prepared food containers; mushroom; corn,4,9,4,0,5,1.0,0.4444,0.6154,0,0.4444,corn; leafy greens; mushroom; prepared food containers; sauces,
0027_jpeg.rf.27a7b52b03bcc33ca222ce1754d0b03e.jpg,data/raw/train/images/0027_jpeg.rf.27a7b52b03bcc33ca222ce1754d0b03e.jpg,egg; orange juice; corn,egg; cheese; dr pepper; orange juice; soda cans; yogurt; dip; corn; asparagus; prepared meals; pasta sauce,3,11,3,0,8,1.0,0.2727,0.4286,0,0.2727,asparagus; cheese; dip; dr pepper; pasta sauce; prepared meals; soda cans; yogurt,
0028_jpeg.rf.189bbd71418fb2ec1a32dedf20f619c5.jpg,data/raw/train/images/0028_jpeg.rf.189bbd71418fb2ec1a32dedf20f619c5.jpg,yogurt; egg; lemon; strawberry; tortilla,yogurt; egg; lemon; strawberry; cheese; butter; peanut butter; almond milk; salad greens; meat; mushroom,5,11,4,1,7,0.8,0.3636,0.5,0,0.3333,almond milk; butter; cheese; meat; mushroom; peanut butter; salad greens,tortilla
